Customer code,R,F,M,labels
14258,937,13,-0.3909603494132592,0
14264,354,14,1.093845728852402,1
14420,750,4,0.007224916858430491,2
14444,237,16,0.32898272840864884,1
14449,392,18,-0.15166764450306255,1
14453,440,13,0.14290581860411433,1
14497,494,25,0.39747497719340513,2
14549,1086,3,0.22432075559919684,0
14564,432,12,-0.05326891787057725,1
14570,833,11,-0.03668689978534079,2
14605,861,3,0.5225345965657902,0
14662,840,3,-0.5749149300081701,2
14666,266,14,-0.37643061629798746,1
14682,256,56,0.13096500395122332,1
14743,708,5,-0.013012596322086456,2
14763,405,9,0.10622283994734412,1
14779,357,22,0.029631578452138256,1
14802,336,12,-0.29237968442034384,1
14814,865,4,-0.10780879995276145,0
14837,1152,3,0.10996144911159894,0
14861,453,11,-0.456847421418798,1
14876,1050,3,0.3130568048428499,0
14884,389,8,-0.5404957300297075,1
14944,344,6,0.23929968625878031,1
14989,323,31,2.4059807560441886,1
15009,231,45,0.4315294156542465,1
15034,1048,12,0.5883591187807665,0
15084,672,5,-0.23056721030425453,2
15160,921,8,-0.3037322465667615,0
15265,1098,9,1.0761063615050388,0
15277,613,5,0.495213486421862,2
15303,733,10,-0.4325230688482344,2
15334,693,2,-0.48484070914157307,2
15423,403,33,2.1966783642087315,1
15433,692,2,-0.495145748429531,2
15464,753,12,-0.16288435604397702,2
15568,235,19,0.2766300311514395,1
15584,291,10,-0.15187770594621802,1
15592,810,8,-0.4349181628788803,2
15651,998,5,9.548155194131086,0
15666,498,18,0.9949661867111811,2
15797,398,20,-0.09544423973745647,1
15833,252,28,0.5660331092898166,1
15944,1236,2,-0.41327518389419005,0
15959,284,36,0.040434957506580896,1
15977,368,14,0.2504614928535292,1
15987,405,10,-0.5529314251406218,1
16040,1140,2,-0.21293382514091672,0
16049,909,6,-0.1850484783480074,0
16070,1223,5,-0.9248735744311551,0
16094,361,15,-0.21827556580946195,1
16116,393,21,-0.22940271837552512,1
16137,256,19,1.9684283152411617,1
16142,382,13,0.1678347936144297,1
16154,363,29,0.011857648774266157,1
16165,277,15,-0.5721555301745219,1
16190,645,2,-0.5052649997495571,2
16213,1287,3,0.19640115907161193,0
16272,524,3,-0.14845090739740888,2
16304,304,42,1.0677634429055718,1
16349,370,11,0.4878394374111859,1
16401,1090,5,-0.32379376178095703,0
16422,643,8,-0.2596709560004892,2
16455,626,6,-0.38303137988777675,2
16486,1096,3,-0.285296259731336,0
16539,309,24,0.03796396089748951,1
16572,969,4,-0.21014700562193764,0
16585,904,7,0.15969199430086292,0
16623,313,14,0.06804898265230198,1
16659,739,3,-0.7913207550552915,2
16669,959,2,-0.49253852394622,0
16714,1020,1,-0.027463675673534,0
16755,361,23,0.04428221343994924,1
16866,712,4,-0.23777986938568133,2
16876,227,45,0.5233905145214968,1
16881,326,8,-0.5969394884095429,1
16887,452,15,-0.2573651773214203,1
16903,299,2,-0.47255393152900804,1
16909,319,35,0.336826279999444,1
16920,245,9,2.2701367950968097,1
16963,706,2,-0.411937510525081,2
17011,809,4,-0.2442135809770167,2
17096,218,26,0.6913379658416006,1
17113,287,8,-0.07295188070259843,1
17228,257,46,0.38978234642798537,1
17259,227,29,2.3721848591484465,1
17317,224,12,-0.3851458533939178,1
17348,250,2,-0.48980124788535595,1
17377,782,6,-0.08278522498308426,2
17412,1203,2,-0.09186199937193698,0
17414,851,14,-0.4777677344666237,2
17430,363,33,-0.2646943287988766,1
17438,379,10,-0.2822843876442415,1
17460,416,3,-0.7504597879747941,1
17482,817,7,0.010979816253793212,2
17485,956,5,0.5956225936906776,0
17501,648,12,-0.2996421873218136,2
17514,1093,4,-0.23712651503178697,0
17525,239,19,0.022040266700796975,1
17532,904,3,-0.5333417757172667,0
17545,1286,3,-0.07581413295581202,0
17552,256,11,-0.1918076297045258,1
17556,238,8,0.30649948138376565,1
17578,727,6,0.1743459597517989,2
17583,813,2,-0.07699896193738201,2
17588,559,7,-0.23061818095604453,2
17592,844,8,-0.287886022964916,2
17623,378,20,-0.07817937987219634,1
17673,1093,7,-0.11233249019436499,0
17785,1121,3,-0.1943220847673301,0
17811,249,15,-0.27924778652393184,1
17831,1166,2,-0.400270026138955,0
17872,808,6,-0.6439568353578108,2
17899,1005,3,0.096615680081821,0
17953,264,12,0.3045786079492537,1
17999,1083,9,-0.27192956281938513,0
18059,389,10,0.56751411272903,1
18256,1254,1,-0.25790268523178195,0
18365,242,23,0.386283014297183,1
18408,382,28,-0.06835859410339959,1
18464,397,19,0.3299108901736405,1
18472,1250,3,-0.7616615638546371,0
18514,607,9,-0.2719855839843897,2
18547,293,20,-0.16879557519805755,1
18554,245,11,1.2672275445853483,1
18561,348,10,2.8870868010509034,1
18649,277,18,0.2670216428554463,1
18694,309,96,0.22178673929330006,1
18758,250,8,-0.13475292895577642,1
18818,375,6,1.3883540916676667,1
18851,276,14,-0.2876962048922557,1
18865,287,2,-0.18947499772337748,1
18867,507,3,-0.312972345933405,2
18926,937,1,0.005296936005131121,0
19020,225,12,0.010261236104775983,1
19139,1146,4,0.04082931555811986,0
19146,1202,2,-0.1881620960833249,0
19191,572,5,-0.316570008893015,2
19198,1072,1,0.0174970125659951,0
19236,595,10,0.13465564547649297,2
19282,318,22,0.2042823736277403,1
19290,391,8,0.12009861958872757,1
19297,327,26,0.06441374040577431,1
19411,434,7,0.03455915319950342,1
19412,385,13,-0.374336816159242,1
19498,225,9,-0.24684582749099254,1
19499,379,6,-0.2660691839694511,1
19574,307,24,0.07476649303405059,1
19672,1175,1,0.0175589418886391,0
19694,1014,13,0.47925053439176485,0
19743,348,22,0.46499658535898225,1
19784,395,34,-0.5150858572993556,1
19820,665,6,0.5651463055974324,2
19837,1163,3,-0.21637498847332545,0
19892,292,10,-0.4242375424223185,1
19930,508,5,0.018812882584654467,2
19933,617,20,1.716538374972015,2
19988,323,18,0.3233296774794686,1
20012,1058,6,0.13370793823281937,0
20017,592,12,0.5428074592855965,2
20163,243,32,-0.16005941771439922,1
20168,246,11,0.09061284057809196,1
20190,265,63,0.013730361532982086,1
20213,319,7,0.49358635751315394,1
20220,360,1,-0.23235683964114004,1
20227,503,5,-0.6380807320984321,2
20236,650,7,-0.45412723409197797,2
20347,537,2,-0.48484070914157307,2
20375,1302,2,0.7824357410392941,0
20415,617,7,0.4320636578679634,2
20423,441,13,0.9837918224384007,1
20451,287,6,-0.42812478548498556,1
20574,481,15,0.5146764275113381,1
20698,1233,2,-0.2958033096505049,0
20700,301,27,-0.16498558164946764,1
20735,237,10,-0.043761433954662796,1
20754,732,23,0.9491959230226149,2
20867,391,19,0.017179990254997352,1
20892,1008,9,-0.18514119077288405,0
20921,385,5,0.03939695084505945,1
20933,637,5,-0.34468901783951356,2
20936,1029,2,-0.038293135284895,0
20954,1058,3,4.807958880357145,0
20966,220,1,-0.20681099405049802,1
20970,404,9,-2.202839160836031,1
20977,922,4,-0.0035244653194995146,0
20991,249,9,-0.10348718673551051,1
21019,1114,2,-0.24420813307612632,0
21041,279,9,0.006907868986340493,1
21092,538,12,3.8756387834442356,2
21111,225,8,0.03540098147468965,1
21121,468,6,-0.19712120475915432,1
21141,1237,6,1.0668360579829248,0
21239,523,6,-0.27306306880671155,2
21284,231,29,-0.1374158225853613,1
21288,1137,14,0.023032210378693203,0
21454,465,71,-0.37574499914065335,1
21459,729,10,-0.39820369376924253,2
21500,599,13,1.0097415599071373,2
21530,571,9,0.07901784375930732,2
21543,959,9,-0.35685459906285144,0
21567,407,11,-0.47960109266207873,1
21580,270,14,-0.15653642819856572,1
21591,1100,3,-0.14297338689707495,0
21624,628,38,0.7084967535110315,2
21631,410,14,0.17628859646593928,1
21712,316,21,-0.12284060645782278,1
21721,228,16,0.19016267103362688,1
21774,802,10,-0.25303315585650454,2
21775,466,11,0.2139096320863619,1
21802,729,4,-0.45966024655453097,2
21815,260,9,0.15203010202741754,1
21842,348,9,-0.535186030945604,1
21848,945,2,-0.41075466046258,0
21863,229,15,-0.09250600380773827,1
21991,314,3,-0.07095887406052309,1
22078,803,9,0.28069336655340804,2
22099,369,9,-0.2439082100713752,1
22102,376,5,-0.5459955521343278,1
22142,363,2,-0.2327883659805768,1
22189,517,4,-0.33555698044212834,2
22194,391,5,2.651856932044782,1
22225,491,12,0.16841777534170382,2
22300,491,4,-0.18795153638633574,2
22312,383,29,0.09947661689606616,1
22313,617,5,-0.41747300250991654,2
22325,1075,1,-0.25790268523178195,0
22345,1217,1,-0.039663752234398,0
22361,643,5,-0.051343750572577534,2
22365,699,15,0.028781148806446534,2
22506,523,10,-0.20243788215335975,2
22523,1044,6,0.2800106989867931,0
22585,348,14,-0.054068294810482,1
22645,696,6,0.7450405452850242,2
22652,1154,5,-0.199317674098102,0
22654,911,1,-0.027463675673534,0
22692,270,24,0.12299319987913579,1
22732,386,12,0.3335829584922714,1
22759,361,25,-0.1428140585846491,1
22772,690,7,-0.5781262525112634,2
22846,610,5,0.265312952324006,2
22871,355,6,-0.39777229551733106,1
22915,1063,7,1.4662959003209357,0
22995,776,14,-0.2104911890938368,2
23000,469,15,-0.23591728348059177,1
23025,1296,1,-0.0349571237134555,0
23029,601,14,0.12935546474447193,2
23030,574,6,-0.25886792129301733,2
23035,553,18,-0.0539731282606788,2
